epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1286.8,0.58762,2.52002,0.49506,0.84172,0.78951,0.82569,0.52742,0.38423,0.63192,0.41059,0.0033313,0.0033313,0.0033313
2,2552.49,0.45403,0.70979,0.35584,0.86086,0.81142,0.85275,0.58582,0.35008,0.56069,0.35953,0.00658216,0.00658216,0.00658216
3,3797.86,0.48428,0.70568,0.35959,0.85663,0.78458,0.83474,0.55091,0.37588,0.57122,0.40609,0.00975052,0.00975052,0.00975052
4,5041.19,0.51295,0.72117,0.37419,0.86886,0.78715,0.83853,0.55435,0.38218,0.56095,0.39067,0.00962875,0.00962875,0.00962875
5,6285.29,0.49208,0.7023,0.35227,0.87056,0.81599,0.86705,0.60586,0.33302,0.53084,0.34599,0.009505,0.009505,0.009505
6,7531.16,0.48566,0.68568,0.34563,0.87923,0.82771,0.87473,0.59364,0.35376,0.51544,0.36762,0.00938125,0.00938125,0.00938125
7,8777.12,0.47216,0.67639,0.33524,0.87507,0.83148,0.88125,0.61572,0.33263,0.50182,0.35135,0.0092575,0.0092575,0.0092575
8,10024.2,0.4567,0.67237,0.32526,0.89345,0.83629,0.88993,0.61856,0.33572,0.49611,0.35711,0.00913375,0.00913375,0.00913375
9,11267.6,0.42668,0.66586,0.31622,0.89945,0.84032,0.89371,0.62682,0.32981,0.48942,0.34883,0.00901,0.00901,0.00901
10,12510.3,0.4169,0.65958,0.31213,0.88444,0.8461,0.89463,0.63671,0.32124,0.48454,0.34395,0.00888625,0.00888625,0.00888625
11,13758.9,0.40814,0.65619,0.306,0.88479,0.85134,0.89735,0.63359,0.32494,0.48666,0.34765,0.0087625,0.0087625,0.0087625
12,15005.8,0.40577,0.65394,0.30251,0.88944,0.85284,0.90081,0.64453,0.3145,0.47806,0.33579,0.00863875,0.00863875,0.00863875
13,16250.4,0.40039,0.64842,0.29989,0.88942,0.85947,0.90436,0.65233,0.31102,0.47396,0.33431,0.008515,0.008515,0.008515
14,17493.5,0.40067,0.64248,0.30027,0.88609,0.8625,0.90554,0.65074,0.31174,0.47348,0.33258,0.00839125,0.00839125,0.00839125
15,18735.1,0.40825,0.64125,0.30399,0.88928,0.86327,0.90645,0.6481,0.31442,0.47464,0.33843,0.0082675,0.0082675,0.0082675
16,19981.8,0.40632,0.63881,0.30296,0.89072,0.86329,0.90652,0.64649,0.31526,0.47325,0.34104,0.00814375,0.00814375,0.00814375
17,21223.5,0.39442,0.63725,0.2936,0.89287,0.86437,0.90835,0.651,0.31132,0.47374,0.33664,0.00802,0.00802,0.00802
18,22465.4,0.39851,0.63768,0.29647,0.89194,0.86557,0.90804,0.65173,0.31109,0.4707,0.33667,0.00789625,0.00789625,0.00789625
19,23708.3,0.40691,0.63444,0.30155,0.89209,0.86532,0.90809,0.64695,0.31479,0.47494,0.34143,0.0077725,0.0077725,0.0077725
20,24951.6,0.40305,0.63496,0.29958,0.89168,0.8663,0.9088,0.64768,0.31418,0.47506,0.3395,0.00764875,0.00764875,0.00764875
21,26193.8,0.40035,0.63209,0.2985,0.89386,0.86644,0.90886,0.64463,0.31708,0.47678,0.3425,0.007525,0.007525,0.007525
22,27435.5,0.40994,0.63119,0.30089,0.8928,0.86716,0.90818,0.64101,0.32069,0.47856,0.34502,0.00740125,0.00740125,0.00740125
23,28671.1,0.39688,0.6264,0.2935,0.89545,0.86526,0.90857,0.63806,0.32474,0.47884,0.34852,0.0072775,0.0072775,0.0072775
